Name;RxFreq
PMR1;446.00625
PMR2;446.01875
PMR3;446.03125
PMR4;446.04375
PMR5;446.05625
PMR6;446.06875
PMR7;446.08125
PMR8;446.09375
PMR9;446.10625
PMR10;446.11875
PMR11;446.13125
PMR12;446.14375
PMR13;446.15625
PMR14;446.16875
PMR15;446.18125
PMR16;446.19375
